 50.4167, -101.75094, Rocanville No. 151
 66.83333, -161.00056, Northwest Arctic Borough
 44.03459, -94.06703, Blue Earth County
 36.33344, -82.49959, February
 44.25, 17.83333, Bosnia and Herzegovina
 53.33306, -6.24889, Dublin
 31.66667, 88.0, Tibet Autonomous Region
 44.21028, 43.13528, Mineralnye Vody
 29.38663, -98.61797, Lackland Air Force Base
 66.83333, -161.00056, Northwest Arctic Borough
 66.83333, -161.00056, Northwest Arctic Borough
 44.03459, -94.06703, Blue Earth County
 52.42972, -114.90417, Rocky Mountain House Airport
 44.03459, -94.06703, Blue Earth County
 49.91677, -109.08477, Piapot No. 110
 -14.60485, -57.65625, South America
 -14.60485, -57.65625, South America
 37.25022, -119.75126, California
 38.58157, -121.4944, Sacramento
 78.0627, 13.62066, Kapp Linné
 -14.60485, -57.65625, South America
 -35.31616, 149.01047, Mount Stromlo
 44.03459, -94.06703, Blue Earth County
 -14.60485, -57.65625, South America
 51.50005, -103.91775, Emerald No. 277
 32.71533, -117.15726, San Diego
 38.87476, -92.25046, Chariton River Hills
 23.0, -102.0, Mexico
 -14.60485, -57.65625, South America
 51.50005, -103.91775, Emerald No. 277
 28.4705, -80.55759, Cape Canaveral Air Force Station
 66.83333, -161.00056, Northwest Arctic Borough
 47.50012, -120.50147, Washington
 35.50069, -80.00032, North Carolina
 39.6891, -105.64436, Clear Creek County
 42.78102, -96.17418, City of Le Mars
 51.72703, 28.38867, Eastern Europe
 66.83333, -161.00056, Northwest Arctic Borough
 66.83333, -161.00056, Northwest Arctic Borough
 13.42222, 144.67551, Stranded JP Midget Attack Submarine Type C WW2
 66.83333, -161.00056, Northwest Arctic Borough
 -14.60485, -57.65625, South America
 66.83333, -161.00056, Northwest Arctic Borough
 -14.60485, -57.65625, South America
 66.83333, -161.00056, Northwest Arctic Borough
 -14.60485, -57.65625, South America
 -10.0, -55.0, Federative Republic of Brazil
 47.50012, -120.50147, Washington
 -14.60485, -57.65625, South America
 -14.60485, -57.65625, South America
 42.78102, -96.17418, City of Le Mars
 -2.5, 23.5, Democratic Republic of the Congo
 53.33306, -6.24889, Dublin
 30.87324, -92.41698, Village of Turkey Creek
 6.05862, 36.7273, Southern Nations, Nationalities, and People's Region
 -14.60485, -57.65625, South America
 51.72703, 28.38867, Eastern Europe
 66.83333, -161.00056, Northwest Arctic Borough
 34.5003, -111.50098, Arizona
 44.03459, -94.06703, Blue Earth County
 47.50012, -120.50147, Washington
 40.72659, -115.5859, Spring Creek
 66.83333, -161.00056, Northwest Arctic Borough
 44.03459, -94.06703, Blue Earth County
 40.4165, -3.70256, Madrid
 66.83333, -161.00056, Northwest Arctic Borough
 64.00028, -150.00028, Alaska
 66.83333, -161.00056, Northwest Arctic Borough
 -35.31616, 149.01047, Mount Stromlo
 -14.60485, -57.65625, South America
 44.03459, -94.06703, Blue Earth County
 43.19399, -80.58139, Showers Corners
 32.4308, -97.10189, Town of Venus
 35.75035, -86.25027, Tennessee
 66.83333, -161.00056, Northwest Arctic Borough
 31.98738, -90.35704, Crystal Springs
 66.83333, -161.00056, Northwest Arctic Borough
 -14.60485, -57.65625, South America
 39.46407, -78.02754, Berkeley County
 -14.60485, -57.65625, South America
 66.83333, -161.00056, Northwest Arctic Borough
 -34.59987, -58.56606, Partido de Tres de Febrero
 32.4308, -97.10189, Town of Venus
 36.34202, -94.06187, Prairie Creek
 -6.0, 147.0, Independent State of Papua New Guinea
 35.12985, -3.58562, Annoual
 34.53834, -120.03078, Santa Barbara County
 66.83333, -161.00056, Northwest Arctic Borough
 35.6895, 139.69171, Tokyo
 44.03459, -94.06703, Blue Earth County
 44.25029, -85.50033, Michigan
 -14.60485, -57.65625, South America
 -35.31616, 149.01047, Mount Stromlo
 43.70313, 7.26608, Nice
 46.94902, -120.00283, Ginkgo Petrified Forest State Park
 35.49209, -97.50328, Oklahoma
 39.866, -74.25003, Ocean County
 12.03219, 39.04756, Lalībela
 49.91676, -104.25111, Scott No. 98
 66.83333, -161.00056, Northwest Arctic Borough
 66.83333, -161.00056, Northwest Arctic Borough
 37.25022, -119.75126, California
 7.0, 21.0, Central African Republic
 37.25022, -119.75126, California
 51.72703, 28.38867, Eastern Europe
 41.3501, -71.83424, Pawcatuck River State Wildlife Management Area
 33.93667, -84.37032, City of Sandy Springs
 66.83333, -161.00056, Northwest Arctic Borough
 45.37307, 9.21115, Opera
 66.83333, -161.00056, Northwest Arctic Borough
 66.83333, -161.00056, Northwest Arctic Borough
 44.03459, -94.06703, Blue Earth County
 66.83333, -161.00056, Northwest Arctic Borough
 -35.31616, 149.01047, Mount Stromlo
 43.62513, -116.70929, Canyon County
 36.90662, -121.60772, Soda Lake 636 Dam
 44.03228, -73.42373, Lake Champlain Toll Bridge
 74.00135, -67.99642, Baffin Bay
 37.34888, -108.58593, Cortez
 44.03459, -94.06703, Blue Earth County
 48.85341, 2.3488, Paris
 31.22222, 121.45806, Shanghai
 -43.24895, -65.30505, Trelew
 36.90662, -121.60772, Soda Lake 636 Dam
 66.83333, -161.00056, Northwest Arctic Borough
 18.46633, -66.10572, San Juan
 54.75844, -2.69531, United Kingdom of Great Britain and Northern Ireland
 -10.0, -55.0, Federative Republic of Brazil
 33.93667, -84.37032, City of Sandy Springs
 51.72703, 28.38867, Eastern Europe
 37.25022, -119.75126, California
 43.00035, -75.4999, New York
